"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bangladesh","BGD","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.4384","37.03173","31.89144","34.17289","28.46752","36.7488","","36.36022","31.0707","30.03398","23.88228","","16.13114","23.48732","","","","29.90388","","","","","","","","",
"Bulgaria","BGR","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.54322","","","17.52585","17.79191","26.76978","16.79781","22.47607","21.22325","17.64733","23.21855","24.07497","14.73756","15.58112","15.98498","16.60156","","","","","","","","","","","",
"Bahrain","BHR","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4294","","","","","","","","","","","",
"Bahamas, The","BHS","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.73047","","","","","","","","",
"Belarus","BLR","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.03547","27.35101","28.6461","17.86961","","15.04818","14.55155","13.12466","14.26914","14.83151","14.90092","15.95206","17.04407","17.92244","","","","","","","",
"Belize","BLZ","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.59453","","","","27.06353","29.29931","25.7958","","23.66844","33.88048","33.77528","32.98957","28.44193","27.31742","","","","","","","",
"Bermuda","BMU","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.44113","","","","19.07085","","","23.92178","","","","","","","",
"Bolivia","BOL","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.56891","56.15402","54.77987","47.0537","44.34165","","32.36675","34.63414","","29.00597","27.01758","27.69676","27.66643","27.41477","27.88126","29.81738","28.79964","33.04323","","","","","","","","","",
"Barbados","BRB","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.20958","42.48029","58.6937","","","","","","38.70306","","29.9187","41.67439","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.36628","","","","49.20882","","31.92784","","","","","","","","",
"Bhutan","BTN","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.39647","83.74035","64.02609","","","50.69012","","","","","","","","","","",
"Botswana","BWA","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","262.54747","","205.53861","","246.067","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","298.00733","","101.73394","118.55574","89.9605","100.5374","","","","","","","","","","","","","",
"Canada","CAN","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.85008","","","","","","","","","40.28518","36.35893","40.19827","44.68562","43.07659","","29.65255","36.99843","36.93396","31.44008","","","","","","","","",
"Central Europe and the Baltics","CEB","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.095675","32.02581","28.106035","27.87606","26.0169","24.99642","22.04941","22.47607","21.22325","19.98312","21.50515","24.07497","20.43721","23.57808","23.32456","25.40906","25.51264","24.80784","25.40887","","","","","","","","",
"Switzerland","CHE","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.30925","49.83525","48.8117","50.72625","55.13934","59.04268","57.3849","50.31276","48.16911","42.27089","39.80314","42.03798","39.23296","39.66926","41.6314","40.54859","40.97992","37.67913","37.4052","","","","","","","","",
"Channel Islands","CHI","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.33815","20.33415","","18.6209","","17.21431","14.56763","14.74927","11.11074","11.07058","10.79614","11.42521","12.71999","16.0562","14.31161","15.20969","17.36471","17.21655","18.41495","19.98293","20.25927","","","","","","","",
"China","CHN","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.74403","89.11563","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136.91261","","141.24161","","","","","","","","124.47137","133.41635","126.97594","144.09475","339.70936","","153.55843","123.47373","124.84419","138.96225","150.17056","","","","","","","",
"Cameroon","CMR","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.2388","64.82092","43.5982","46.27243","30.1412","30.47986","24.99223","35.74725","16.65096","19.36118","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.92908","","","","","","","","","","","",
"Congo, Rep.","COG","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","222.35599","","","","","","","","","","","88.05028","","","","","","","","","","","",
"Colombia","COL","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.54112","37.61925","29.61158","30.36323","","","20.53139","19.41872","","","25.89051","26.65748","28.90539","22.7541","22.61438","19.07659","20.32313","19.8043","20.69567","20.39852","21.64385","","","","","","",
"Comoros","COM","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.53333","26.80865","27.62387","24.82556","","","","","","","","","","",
"Cabo Verde","CPV","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","337.59049","","","69.9513","74.80677","","44.9278","42.62926","","35.42491","","30.98478","33.56374","40.61101","39.26181","38.31764","","","","","","","",
"Costa Rica","CRI","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.82923","","","","","","","30.13085","30.3901","32.4646","32.95088","35.07591","36.69091","38.63966","37.51487","","","","","","",
